"falsche-rufnummer-diese";"Die Rufnummer dieses Teilnehmers hat sich geändert, bitte wählen Sie";"The number of the party you are trying to reach has changed, please call";
"falsche-rufnummer-unsere";"Unsere Rufnummer hat sich geändert, bitte wählen Sie";"Our number has changed, please call";
"falsches-passwort";"falsches Passwort";"wrong password";
"fehler-beim-rufaufbau";"Fehler beim Rufaufbau.";"error on call initiation";
"fuer-anrufe";"für Anrufe";"for calls";
"fuer-einen-automatischen-rueckruf-druecken-sie-die";"Für einen automatischen Rückruf drücken Sie die";"For automatic call-back press";
"ihr-telefon-wird-jetzt-neu-gestartet";"Ihr Telefon wird jetzt neu gestartet.";"Your phone will be restarted now.";
"immer";"immer";"always";
"intern";"intern";"internal";
"ist-jetzt-wieder-erreichbar";"ist jetzt wieder erreichbar.";"is available now";
"keine";"keine";"none";
"kein";"kein";"none";
"klingeldauer";"Klingeldauer";"ringing duration";
"kosten";"Kosten";"billing";
"login-fehlgeschlagen";"Anmeldung fehlgeschlagen.";"login failed";
"nach";"nach";"after";
"nein";"nein";"no";
"neu";"neu";"new";
"nicht-abheben";"nicht abheben";"do not answer";
"nicht-eingeloggt";"nicht angemeldet";"not logged in";
"nicht";"nicht";"no";
"please-press-one-for-german-2-for-english";"Plihs press oann for jarmen, or tuh for Inglisch";"Bitte drücken Sie die 1 für Deutsch oder die 2 für Englisch.";
"privatgespraech";"Privatgespräch";"Private call";
"queue-all-busy";"Alle Mitarbeiter sind zur Zeit im Gespräch.";"All agents are currently busy";
"raute-taste";"Rautetaste";"pound key";
"raute";"Raute";"pound";
"rueckruf-programmiert";"Rückruf programmiert.";"callback set";
"rufumleitungsnummer";"Rufumleitungsnummer";"call forwarding number";
"rufumleitung";"Rufumleitung";"call forwarding";
"sie-haben-eine-rufumleitung-programmiert";"Sie haben eine Rufumleitung programmiert.";"call forwarding set";
"sie-haben-ein-falsches-passwort-eingegeben";"Sie haben ein falsches Passwort eingegeben.";"You have entered a wrong password";
"sie-haben-keine-amtsberechtigung";"Sie haben keine Amtsberechtigung.";"You have no permissions for direct outward dialing.";
"sie-haben-keine-berechtigung-fuer-diese-zielrufnummer";"Sie haben keine Berechtigung für diese Zielrufnummer.";"You have no permissions to dial this number.";
"sie-sind-abgemeldet";"Sie werden jetzt abgemeldet.";"You are logged off now";
"sie-sind-jetzt-angemeldet";"Sie werden jetzt angemeldet.";"You are logged in now";
"standard";"Standard";"standard";
"stern-taste";"Sterntaste";"star";
"stern";"Stern";"star";
"stoeren";"Stören";"disturb";
"tschuess";"Tschüss";"Goodbye";
"um-eine-nachricht-zu-hinterlassen-druecken-sie-die";"Um eine Nachricht zu hinterlassen, drücken Sie die";"To leave a message please press";
"um-einen-rueckrufwunsch-per-sms-zu-senden-druecken-sie-die-taste-1";"Um einen Rückrufwunsch per SMS zu senden, drücken sie die Taste 1";"To notify the party you are trying to reach about your call by SMS press 1";
"variable";"variable";"variable";
"vielen-dank";"Vielen Dank!";"Thank you!";
"von";"von";"from";
"wenn-sie-warten-werden-sie-automatisch-mit-der-telefonzentrale-verbunden";"Wenn Sie warten, werden Sie automatisch mit der Telefonzentrale verbunden.";"If you wait you will be connected to the switchboard";
"willkommen";"Wilkommen";"Welcome";
"replace-vm-options";"Durch Drücken der Stern-Taste kommen Sie zurück ins Hauptmenü";"press star key to return to the main menu.";
