"conf-noempty";"Zur Zeit existiert keine leere Konferenz.";"No empty conferences currently exist.";
"conf-onlyone";"Zur Zeit ist ein anderer Teilnehmer in der Konferenz.";"There is currently one other participant in the conference.";
"conf-onlyperson";"Sie sind zur Zeit der einzige Teilnehmer dieser Konferenz.";"You are currently the only person in this conference.";
"conf-otherinparty";"andere Teilnehmer in dieser Konferenz";"other participants in the conference";
"conf-placeintoconf";"Sie werden jetzt in die Konferenz geschaltet.";"You will now be placed into the conference.";
"conf-thereare";"Zur Zeit befinden sich";"There are currently";
"conf-unlockednow";"Die Konferenz ist jetzt entsperrt";"The conference is now unlocked";
"conf-unmuted";"Ihr Mikrofon jetzt nicht mehr stumm geschaltet";"You are now unmuted";
"conf-usermenu";"Bitte drücken Sie 1 zum Stummschalten ihres Mikrofons oder zum Deaktivieren der Stummschaltung, 4 oder 6 um die Lautstärke der Konferenz zu erhöhen oder zu verringern, 7 oder 9 um die Lautstärke Ihres Mikrofons zu erhöhen oder zu verringern und 8 zum Beenden.";"Please press 1 to mute or unmute yourself, 4 or 6 to decrease or increase the conference volume, 7 or 9 to decrease or increase your volume, or 8 to exit";
"conf-userswilljoin";"Teilnehmer werden der Konferenz beitreten.";"users will join the conference.";
"conf-userwilljoin";"Teilnehmer wird der Konferenz beitreten.";"user will join the conference.";
"conf-waitforleader";"Die Konferenz beginnt, so bald der Konferenzleiter sich einwählt.";"The conference will begin when the leader arrives.";
"demo-abouttotry";"Ich werde jetzt eine Inter-Asterisk-Exchange Verbindung zum Demo-Server bei Digium in Huntsville Alabama einleiten. Damit das funktioniert, muss der Server natürlich über eine funktionierende Internetverbindung verfügen. Bitte warten Sie einen Moment, bis die Verbindung steht.";"I am about to attempt an Inter-Asterisk Exchange connection to a demonstration server located at Digium. In order for this to work you must already be connected to the Internet. Please wait a moment while I attempt to make the connection.";
"demo-congrats";"Gratulation. Sie haben erfolgreich eine Asterisk Telefonanlage installiert. Weiterhin haben Sie einen Satz von Beispiel Sprachdateien und Konfigurationsdateien installiert. Sie können diese Demo mit der Eingabe von Ziffern auf Ihrem Telefon steuern.";"Congratulations. You have successfully installed and executed the Asterisk open source PBX. You have also installed a set of sample sounds and configuration files that should help you to get started. Like a normal PBX you will navigate this demonstration by dialing digits. If you are using a console channel driver instead of a real phone you can use the dial, answer, and hang up commands to simulate the actions of a standard telephone.";
"demo-echodone";"Der Echo-Test ist abgeschlossen.";"The echo test has been completed.";
"demo-echotest";"Gleich startet der Echo-Test. In diesem Test wird automatisch alles wiederholt, was Sie sagen. Ziel dieses Test ist es Ihnen ein hörbares Gefühl für die Latenzzeiten zwischen Ihrem Telefon und dem Asterisk-Server zu geben. Der Test kann jederzeit durch Auflegen oder durch drücken der Raute-Taste beendet werden.";"You are about to enter an echo test. In this mode everything you say will be repeated back to you just as soon as it is received. The purpose of this test is to give you an audible sense of the latency between you and the machine that is running the echo test application. You may end the test by hanging up or by pressing the pound key.";
"demo-enterkeywords";"Bitte geben Sie ein oder mehrere Schlüsselwörter die jeweils durch die Eingabe der Stern-Taste getrennt werden ein. Danach drücken Sie bitte die Raute-Taste.";"Please enter one or more keywords separated by * and then press the pound key.";
"demo-instruct";"Wenn Sie mehr über die technischen Fähigkeiten von Asterisk erfahren möchte, so drücken Sie jetzt die 2. Wenn Sie die Voice over IP Fähigkeiten testen möchten, wählen Sie bitte die 500 um eine Verbindung zum Demo-Server von Digium einzuleiten. Damit dieser Test funktioniert müssen Sie mindestens eine 28,8 Kilobit Modem Verbindung mit dem Internet haben. Für einen Echo-Test wählen Sie bitte die 600. Der Echo-Test ist am sinnvollsten, wenn Sie von einem weit entfernten Telefon aus anrufen. Diese Beispielkonfiguration verfügt auch über eine Extension 1234 mit dem Passwort 4242. Der User ist so konfiguriert, das die Konsole klingelt, wenn diese Extension angerufen wird. Wenn die Konsole besetzt sein sollte, können Sie eine Nachricht auf dem Voicemailsystem hinterlassen. Um diese Voicemail abzurufen wählen Sie die Extension 8500. Zum Schluss können Sie die Rautetaste drücken, um sich vom System zu trennen.";"If you would like to learn more technical information about Asterisk dial 2 now. If you'd like to test out the voice over IP capabilities of Asterisk you can dial 500 to attempt an Inter-Asterisk Exchange or IAX connection to a demonstration server at Digium. In order for this test to work you will need to be connected to the Internet and have at least a 28.8 kilobit modem. To execute an echo test dial 600. This test is most useful when you have connected to this Asterisk server from a remote location. The sample configuration also has a single user with extension 1234 and password 4242. That user is configured to ring the console when their extension is dialed. If you dial 1234 you can try to ring the console. If the console is busy or unavailable you will be given the option to leave voicemail. To check voice mail for the user dial extension 8500 to enter the voicemail system. Finally, you can press the pound key to disconnect from the PBX.";
"demo-moreinfo";"Asterisk ist eine Open Source Telefonanlage die alle Funktionen einer klassischen Telefon- und eines Sprachdialogsystems bietet. Es läuft auf Linux. Für weitere Informationen besuchen Sie die Webseite www.asterisk.org";"Asterisk is an Open Source full-featured PBX and IVR platform that runs on the linux operating system. For more information, visit www.asterisk.org.";
"demo-nogo";"Leider konnte ich keine Verbindung zum Asterisk Demo-Server einleiten. Auf dem Command Line Interface finden Sie eine genaue Fehlermeldung.";"I am afraid I was unable to create a connection to the Digium demonstration Asterisk server. You may find some helpful debugging information on the Asterisk console.";
"demo-nomatch";"Leider gibt es für diese Schlüsselwörter keine Treffer";"I'm sorry there are no matches for those keywords";
"demo-thanks";"Tschüss. Vielen Dank das Sie Asterisk ausprobiert haben.";"Goodbye. Thank you for trying out the Asterisk Open Source PBX.";
"dictate/both_help";"Drücken Sie für eine Pause während des Diktats die Stern-Taste. Beim wiederholten drücken der Stern-Taste wird das Diktat wieder angefangen. Drücken Sie die Raute-Taste, um einen neuen Dateinamen für das Diktat einzugeben.";"press * to toggle pause, press # to enter a new dictation filename";
"dictate/enter_filename";"Geben Sie einen numerischen Dateinamen ein und beenden Sie die Eingabe mit der Raute-Taste.";"Enter a numeric dictation filename followed by # or just # to exit";
"dictate/forhelp";"drücken Sie die Null für Hilfe";"press 0 for help";
"dictate/pause";"Pause";"pause";
"dictate/paused";"Pause";"paused";
"dictate/play_help";"drücken Sie 1 für den Rekordermodus, die 2 für schnelles Vorspielen, die 7 für zurück, die 8 für vorwärts";"press 1 to switch to record mode, press 2 to toggle fast playback, press 7 to jump backwards, press 8 to jump forwards";
"dictate/playback";"Abspielen";"playback";
"dictate/playback_mode";"Abspielmodus";"playback mode";
"dictate/record";"Aufnehmen";"record";
"dictate/record_help";"drücken Sie 1 für den Abspielmodus, die 8 um die Aufnahme zu beenden und neu anzufangen";"press 1 to switch to playback mode, press 8 to truncate the file and start over";
"dictate/record_mode";"Aufnahmemodus";"record mode";
"dictate/truncating_audio";"Aufnahme gestoppt";"truncating audio";
"digits/0";"null";"zero";
"digits/1";"ein";"one";
"digits/1F";"eine";"one";
"digits/1N";"ein";;
"digits/10";10;"ten";
"digits/11";11;"eleven";
"digits/12";12;"twelve";
"digits/13";13;"thirteen";
"digits/14";14;"fourteen";
"digits/15";15;"fifteen";
"digits/16";16;"sixteen";
"digits/17";17;"seventeen";
"digits/18";18;"eighteen";
"digits/19";19;"nineteen";
"digits/2";2;"two";
"digits/20";20;"twenty";
"digits/3";3;"three";
"digits/30";30;"thirty";
"digits/4";4;"four";
"digits/40";40;"forty";
"digits/5";5;"five";
"digits/50";50;"fifty";
"digits/6";6;"six";
"digits/60";60;"sixty";
"digits/7";7;"seven";
"digits/70";70;"seventy";
"digits/8";8;"eight";
"digits/80";80;"eighty";
"digits/9";9;"nine";
"digits/90";90;"ninety";
"digits/a-m";"Vormittags";"A.M.";
"digits/and";"und";;
"digits/day-0";"Sonntag";"Sunday";
"digits/day-1";"Montag";"Monday";
"digits/day-2";"Dienstag";"Tuesday";
"digits/day-3";"Mittwoch";"Wednesday";
"digits/day-4";"Donnerstag";"Thursday";
"digits/day-5";"Freitag";"Friday";
"digits/day-6";"Samstag";"Saturday";
"digits/ein";"ein";;
"digits/eine";"eine";;
"digits/h-1";"erster";"first";
"digits/h-2";"zweiter";"second";
"digits/h-3";"dritter";"third";
"digits/h-4";"vierter";"fourth";
"digits/h-5";"fünfter";"fifth";
"digits/h-6";"sechster";"sixth";
"digits/h-7";"siebter";"seventh";
"digits/h-8";"achter";"eighth";
"digits/h-9";"neunter";"ninth";
"digits/h-10";"zehnter";"tenth";
"digits/h-11";"elfter";"eleventh";
"digits/h-12";"zwölfter";"twelfth";
"digits/h-13";"dreizehnter";"thirteenth";
"digits/h-14";"vierzehnter";"fourteenth";
"digits/h-15";"fünfzehnter";"fifteenth";
"digits/h-16";"sechzehnter";"sixteenth";
"digits/h-17";"siebzehnter";"seventeenth";
"digits/h-18";"achzehnter";"eighteenth";
"digits/h-19";"neunzehnter";"nineteenth";
"digits/h-20";"zwanzigster";"twentieth";
"digits/h-30";"dreißigster";"thirtieth";
"digits/h-40";"vierzigster";"fourtieth";
"digits/h-50";"fünfzigster";"fiftieth";
"digits/h-60";"sechzigster";"sixtieth";
"digits/h-70";"siebzigster";"seventieth";
"digits/h-80";"achzigster";"eightieth";
"digits/h-90";"neunzigster";"ninetieth";
"digits/h-1F";"erste";;
"digits/h-2F";"zweite";;
"digits/h-3F";"dritte";;
"digits/h-4F";"vierte";;
"digits/h-5F";"fünfte";;
"digits/h-6F";"sechste";;
"digits/h-7F";"siebte";;
"digits/h-8F";"achte";;
"digits/h-9F";"neunte";;
"digits/h-10F";"zehnte";;
"digits/h-11F";"elfte";;
"digits/h-12F";"zwölfte";;
"digits/h-13F";"dreizehnte";;
"digits/h-14F";"vierzehnte";;
"digits/h-15F";"fünfzehnte";;
"digits/h-16F";"sechzehnte";;
"digits/h-17F";"siebzehnte";;
"digits/h-18F";"achzehnte";;
"digits/h-19F";"neunzehnte";;
"digits/h-20F";"zwanzigste";;
"digits/h-30F";"dreißigste";;
"digits/h-40F";"vierzigste";;
"digits/h-50F";"fünfzigste";;
"digits/h-60F";"sechzigste";;
"digits/h-70F";"siebzigste";;
"digits/h-80F";"achzigste";;
"digits/h-90F";"neunzigste";;
"digits/h-1N";"erstes";;
"digits/h-2N";"zweites";;
"digits/h-3N";"drittes";;
"digits/h-4N";"viertes";;
"digits/h-5N";"fünftes";;
"digits/h-6N";"sechstes";;
"digits/h-7N";"siebtes";;
"digits/h-8N";"achtes";;
"digits/h-9N";"neuntes";;
"digits/h-10N";"zehntes";;
"digits/h-11N";"elftes";;
"digits/h-12N";"zwölftes";;
"digits/h-13N";"dreizehntes";;
"digits/h-14N";"vierzehntes";;
"digits/h-15N";"fünfzehntes";;
"digits/h-16N";"sechzehntes";;
"digits/h-17N";"siebzehntes";;
"digits/h-18N";"achzehntes";;
"digits/h-19N";"neunzehntes";;
"digits/h-20N";"zwanzigstes";;
"digits/h-30N";"dreißigstes";;
"digits/h-40N";"vierzigstes";;
"digits/h-50N";"fünfzigstes";;
"digits/h-60N";"sechzigstes";;
"digits/h-70N";"siebzigstes";;
"digits/h-80N";"achzigstes";;
"digits/h-90N";"neunzigstes";;
"digits/h-hundred";"Hundert";;
"digits/h-hundredF";"Hundert";;
"digits/h-hundredN";"Hundert";;
"digits/h-milliard";"Milliarde";;
"digits/h-milliardF";"Milliarde";;
"digits/h-milliardN";"Milliarde";;
"digits/h-million";"Million";;
"digits/h-millionF";"Million";;
"digits/h-millionN";"Million";;
"digits/h-thousand";"Tausend";;
"digits/h-thousandF";"Tausend";;
"digits/h-thousandN";"Tausend";;
"digits/h-last";"letzter";"last";
"digits/h-lastF";"letzte";;
"digits/h-lastN";"letztes";;
"digits/hundred";"Hundert";"hundred";
"digits/hundreds";"Hundert";"hundreds";
"digits/million";"Million";"million";
"digits/millions";"Millionen";"millions";
"digits/milliard";"Milliarde";"billion";
"digits/milliards";"Milliarden";"billions";
"digits/minus";"minus";"minus";
"digits/mon-0";"Januar";"January";
"digits/mon-1";"Februar";"February";
"digits/mon-10";"November";"November";
"digits/mon-11";"Dezember";"December";
"digits/mon-2";"März";"March";
"digits/mon-3";"April";"April";
"digits/mon-4";"Mai";"May";
"digits/mon-5";"Juni";"June";
"digits/mon-6";"July";"July";
"digits/mon-7";"August";"August";
"digits/mon-8";"September";"September";
"digits/mon-9";"Oktober";"October";
"digits/oclock";"Uhr";"o'clock";
"digits/oh";"Null";"oh";
"digits/p-m";"Nachmittags";"P.M.";
"digits/pound";"Raute";"pound";
"digits/star";"Stern";"star";
"digits/thousand";"Tausend";"thousand";
"digits/today";"Heute";"today";
"digits/tomorrow";"Morgen";"tomorrow";
"digits/yesterday";"Gestern";"yesterday";
"digits/at";"um";"at";
"digits/dollars";"Dollar";"dollars";
"digits/1-and";"einund";;
"digits/2-and";"zweiund";;
"digits/3-and";"dreiund";;
"digits/4-and";"vierund";;
"digits/5-and";"fünfund";;
"digits/6-and";"sechsund";;
"digits/7-and";"siebenund";;
"digits/8-and";"achtund";;
"digits/9-and";"neunund";;
"dir-firstlast";"Buchstaben des Vor- oder Nachnamens der gesuchten Person";"letters of your party's first or last name.";
"dir-instr";"Wenn Sie nach dieser Person gesucht haben, drücken Sie jetzt die 1. Ansonsten drücken Sie bitte die Stern-Taste.";"If this is the person you are looking for press 1 now, otherwise please press star now.";
"dir-intro";"Willkommen im Telefonverzeichnis. Bitte benutzen Sie Ihre Telefontastatur, um die ersten 3 Buchstaben des Nachnamens der gesuchten Person einzugeben.";"Welcome to the directory. Please enter the first three letters of your party's last name using your touch tone keypad. Use the 7 key for Q and the 9 key for Z.";
"dir-intro-fn";"Willkommen im Telefonverzeichnis. Bitte benutzen Sie Ihre Telefontastatur, um die ersten 3 Buchstaben des Vornamens der gesuchten Person einzugeben.";"Welcome to the directory. Please enter the first three letters of your party's first name using your touch tone keypad. Use the 7 key for Q and the 9 key for Z.";
"dir-last";"Buchstaben des Nachnamens der gesuchten Person.";"letters of your party's last name.";
"dir-multi1";"Drücken Sie";"Press";
"dir-multi2";"für";"for";
"dir-multi3";"Durchwahl";"extension";
"dir-multi9";"Drücken Sie 9 für mehr Einträge.";"Press 9 for more entries.";
"dir-nomatch";"Kein Telefonbucheintrag passt zu Ihrer Eingabe.";"No directory entries match your search.";
"dir-nomore";"Es gibt keine weiteren passenden Telefonbucheinträge zu Ihrer Eingabe.";"There are no more compatible entries in the directory.";
"dir-pls-enter";"Bitte geben Sie den ersten";"Please enter the first";
"dir-usingkeypad";"benutzen Sie Ihre Telefon DTMF Eingabe. Benutzen Sie die 7 für Q und die 9 für Z.";"using your touchtone keypad. Use the 7 key for Q, and the 9 key for Z.";
"dir-welcome";"Willkommen zu dem Telefonnummernverzeichnis";"Welcome to the directory";
"dollars";"Dollar";"dollars";
"followme/call-from";"eingehendes Gespräch von";"incoming call from";
"followme/call-from";"eingehendes Gespräch von";"incoming call from";
"followme/no-recording";"Die haben ein eingehendes Gespräch.";"you have an incoming call";
"followme/no-recording";"Sie haben ein eingehendes Gespräch";"you have an incoming call";
"followme/options";"Drücken Sie die 1 um dieses Gespräch entgegenzunehmen oder die 2 um es abzulehnen.";"press 1 to accept this call, or 2 to reject it";
"followme/options";"Drücken Sie 1 um dieses Gespräch entgegen zu nehmen oder die 2 um es abzulehnen.";"press 1 to accept this call, or 2 to reject it";
"followme/pls-hold-while-try";"Bitte warten Sie während ich die gewünschte Person suche.";"please hold while I try to locate the person you are calling";
"followme/pls-hold-while-try";"Bitte warten Sie, während ich versuche die gewünschte Person anzurufen.";"please hold while I try to locate the person you are calling";
"followme/sorry";"Leider habe ich die gewünschte Person nicht finden können.";"I'm sorry, but I was unable to locate the person you are calling";
"followme/sorry";"Leider konnte ich die gesuchte Person nicht anrufen.";"I'm sorry, but I was unable to locate the person you are calling";
"followme/status";"Die von Ihnen gewünschte Person ist nicht an ihrem Schreibtisch. Ich versuche Sie zu finden";"the person you are calling is not at their desk; I will try to locate them for you";
"followme/status";"Die von Ihnen gewünschte Person ist nicht an ihrem Schreibtisch. Ich werde versuchen Sie zu finden.";"the person you are calling is not at their desk; I will try to locate them for you";
"hello-world";"Hallo Welt.";"Hello world.";
"hours";"Stunden";"hours";
"invalid";"Dies ist keine verfügbare Nummer. Bitte versuchen Sie es nochmal.";"I am sorry, that's not a valid extension. Please try again.";
"letters/a";"a";"a";
"letters/at";"at";"at";"@";
"letters/b";"b";"b";
"letters/c";"c";"c";
"letters/d";"d";"d";
"letters/dash";"Bindestrich";"dash";
"letters/dollar";"Dollar";"dollar";
"letters/dot";"Punkt";"dot";
"letters/e";"e";"e";
"letters/equals";"gleich";"equals";
"letters/exclaimation-point";"Ausrufezeichen";"Exclaimation-point";
"letters/f";"f";"f";
"letters/g";"g";"g";
"letters/h";"h";"h";
"letters/i";"i";"i";
"letters/j";"j";"j";
"letters/k";"k";"k";
"letters/l";"l";"l";
"letters/m";"m";"m";
"letters/n";"n";"n";
"letters/o";"o";"o";
"letters/p";"p";"p";
"letters/plus";"plus";"plus";
"letters/q";"q";"q";
"letters/r";"r";"r";
"letters/s";"s";"s";
"letters/slash";"Schrägstrich";"slash";
"letters/space";"Leerzeichen";"space";
"letters/t";"t";"t";
"letters/u";"u";"u";
"letters/v";"v";"v";
"letters/w";"w";"w";
"letters/x";"x";"x";
"letters/y";"y";"y";
"letters/z";"z";"z";
"letters/zed";"z";"zed";
"minutes";"Minuten";"minutes";
"pbx-invalid";"Dies ist keine gültige Nummer. Bitte versuchen Sie es noch einmal.";"I am sorry, that's not a valid extension. Please try again.";
"pbx-invalidpark";"Auf dieser Nummer ist kein Gespräch geparkt. Bitte versuchen Sie es noch einmal.";"I am sorry, there is no call parked on that extension. Please try again.";
"pbx-transfer";"Verbinden.";"Transfer.";
"phonetic/9_p";"neun";"niner";
"phonetic/a_p";"Anton";"alpha";
"phonetic/b_p";"Berta";"bravo";
"phonetic/c_p";"Cäsar";"charlie";
"phonetic/d_p";"Dora";"delta";
"phonetic/e_p";"Emil";"echo";
"phonetic/f_p";"Friedrich";"foxtrot";
"phonetic/g_p";"Gustav";"golf";
"phonetic/h_p";"Heinrich";"hotel";
"phonetic/i_p";"Ida";"india";
"phonetic/j_p";"Julius";"juliet";
"phonetic/k_p";"Kaufmann";"kilo";
"phonetic/l_p";"Ludwig";"lima";
"phonetic/m_p";"Martha";"mike";
"phonetic/n_p";"Nordpol";"november";
"phonetic/niner";"neun";"niner";
"phonetic/o_p";"Otto";"oscar";
"phonetic/p_p";"Paula";"papa";
"phonetic/q_p";"Quelle";"quebec";
"phonetic/r_p";"Richard";"romeo";
"phonetic/s_p";"Siegfried";"sierra";
"phonetic/t_p";"Theodor";"tango";
"phonetic/u_p";"Ulrich";"uniform";
"phonetic/v_p";"Viktor";"victor";
"phonetic/w_p";"Wilhelm";"whiskey";
"phonetic/x_p";"Xaver";"xray";
"phonetic/y_p";"Ypsilon";"yankee";
"phonetic/z_p";"Zeppelin";"zulu";
"priv-callee-options";"Drücken Sie 1, wenn Sie wollen das der Anrufer Sie jetzt und in Zukunft direkt erreichen kann. Drücken Sie 2 um diesen Anrufer jetzt und in der Zukunft auf Ihre Voicemailbox zu leiten. Drücken Sie 3 um diesen Anrufer jetzt und in der Zukunft in das Foltermenü zu schicken. Drücken Sie 4 um den Anrufer in das freundliche ""Rufen Sie nicht mehr an"" Menü zu schicken. Drücken Sie 5 damit der Anrufer Sie in der Zukunft direkt erreichen kann, aber diesmal ausnahmsweise auf die Voicemailbox verbunden wird.";"Dial 1 if you wish this caller to reach you directly now, and in the future. Dial 2 if you wish to send this caller to voicemail now and forevermore. Dial 3 to send this caller to the torture menus, now and forevermore. Dial 4 to send this caller to a polite ""don't call"" menu, now and forevermore. Dial 5 to allow this caller to come straight thru to you in the future, but just this once, send them to voicemail.";
"priv-callpending";"Es wartet ein Anrufer der sich selber mit dem folgenden Text vorgestellt hat";"I have a caller waiting, who introduces themselves as:";
"priv-introsaved";"Bitte warten Sie. Ich versuche Sie zu verbinden.";"Thank you. Please hold, while I attempt to connect you with your party!";
"priv-recordintro";"Bitte sagen Sie nach dem Piepton Ihren Namen.";"At the tone, please say your name.";
"privacy-incorrect";"Leider ist diese Nummer nicht korrekt.";"I'm sorry, that number is not valid.";
"privacy-prompt";"Bitte geben Sie Ihre Telefonnummer inklusive Vorwahl ein.";"Please enter your phone number, starting with the area code.";
"privacy-thankyou";"Danke.";"Thank you.";
"privacy-unident";"Der von Ihnen angerufene Teilnehmer aktzeptiert keine Gespräch von unidentifizierten Teilnehmern.";"The party you are trying to reach does not accept unidentified calls.";
"queue-callswaiting";"Bitte warten Sie um mit einem Mitarbeiter zu sprechen.";"Waiting to speak with a representative";
"queue-holdtime";"Die geschätze Wartezeit ist aktuell";"The estimated hold time is currently";
"queue-less-than";"weniger als";"less than";
"queue-minutes";"Minuten";"Minutes";
"queue-periodic-announce";"Alle Mitarbeiter sind zur Zeit im Gespräch. Bitte warten Sie. Ihr Gespräch wird zum nächsten freien Mitarbeiter durchgestellt.";"All of our represenatives are currently busy. Please stay on the line and your call will be answered by the next available representative.";
"queue-quantity1";"Aktuell sind mehr als";"Currently, there are more than";
"queue-quantity2";"Anrufer in dieser Warteschleife.";"callers waiting to speak with a representative.";
"queue-reporthold";"Wartezeit";"Hold time";
"queue-seconds";"Sekunden";"Seconds";
"queue-thankyou";"Danke für Ihre Geduld.";"Thank you for your patience";
"queue-thereare";"Sie sind der Anrufer mit der Warteposition";"You are currently caller number";
"queue-youarenext";"Ihr Anruf ist jetzt der nächste in der Warteschleife und wird zum nächsten freien Mitarbeiter durchgestellt.";"Your call is now first in line and will be answered by the next available representative.";
"screen-callee-options";"Sie haben die folgenden Optionen: Wählen Sie 1 wenn dieses Gespräch direkt zu Ihnen verbunden werden soll. Wählen Sie 2 wenn Sie diesen Anrufer auf das Voicemailsystem leiten möchten. Wählen Sie 3 um den Anrufer in das Foltermenü zu schicken. Wählen Sie 4 um den Anrufer zu einem freundlichen ""Rufen Sie nicht mehr an"" Menü zu schicken.";"You have these options: Dial 1 if you wish to immediately connect to the incoming call. Dial 2 if you wish to send this caller to voicemail. Dial 3 to send this caller to the torture menus. Dial 4 to send this caller to a polite ""don't call"" menu.";
"seconds";"Sekunden";"seconds";
"silence/1";;;"1 sek. Stille";"sound"
"silence/10";;;"10 sek. Stille";"sound"
"silence/2";;;"2 sek. Stille";"sound"
"silence/3";;;"3 sek. Stille";"sound"
"silence/4";;;"4 sek. Stille";"sound"
"silence/5";;;"5 sek. Stille";"sound"
"silence/6";;;"6 sek. Stille";"sound"
"silence/7";;;"7 sek. Stille";"sound"
"silence/8";;;"8 sek. Stille";"sound"
"silence/9";;;"9 sek. Stille";"sound"
"spy-agent";"Agent";"Agent";
"spy-console";"Konsole";"Console";
"spy-h323";"H.323";"H.323";
"spy-iax";"IAX";"IAX";
"spy-iax2";"IAX";"IAX";
"spy-jingle";"Jingle";"Jingle";
"spy-local";"Local";"Local";
"spy-mgcp";"MGCP";"MGCP";
"spy-misdn";"MISDN";"M I S D N";
"spy-mobile";"Bluetooth Handy";"Bluetooth Mobile";
"spy-nbs";"NBS";"N B S";
"spy-sip";"SIP";"SIP";
"spy-skinny";"Skinny";"Skinny";
"spy-unistim";"UNIStim";"Unistim";
"spy-usbradio";"USB Radio";"USB Radio";
"spy-zap";"ZAP";"Zap";
"ss-noservice";"Die von Ihnen gewählte Nummer ist nicht in Betrieb.Bitte überprüfen Sie die Nummer und versuchen Sie es noch einmal.";"The number you have dialed is not in service. Please check the number and try again.";
"transfer";"Bitte warten Sie, sie werden verbunden.";"Please hold while I try that extension.";
"tt-allbusy";"Alle Familienmitglieder sind zur Zeit damit beschäftigt andere Telefonverkäufer abzuwimmeln. Bitte warten Sie. Ihr Anruf wird in der Reihenfolge des Eingangs beantwortet.";"All representatives of the household are currently assisting other telemarketers. Please hold and your call will be answered in the order it was received.";
"tt-monkeys";;;"Affengeschrei";"sound"
"tt-monkeysintro";"Sie wurden von Affen weggetragen.";"They have been carried away by monkeys";
"tt-somethingwrong";"Etwas stimmt nicht nicht.";"Something is terribly wrong";
"tt-weasels";"Wiesel haben unsere Telefonanlage aufgefressen.";"Weasels have eaten our phone system";
"vm-advopts";"drücken Sie 3 für weiterführende Optionen";"press 3 for advanced options";
"vm-and";"und";"and";
"vm-calldiffnum";"drücken Sie 2 um eine andere Nummer einzugeben";"press 2 to enter a different number";
